Transaction_ID,Transaction_Date,Amount,Account_type,Category,Business_unit,Region,Customer_ID,Vendor_ID,Valid_Status,Transaction_Type,Description
TRX100025,2023-06-20,-40143.88,Expense,Rent,Retail,West,,VEND1037,Valid,Vendor Transaction,Good owner financial any result summer physical.
TRX100026,2023-10-09,-38329,Expense,Marketing,Enterprise,West,,VEND1049,Valid,Vendor Transaction,Sport note decide who modern car knowledge.
TRX100027,2022-12-06,193475.45,Revenue,Service,Retail,South,CUST10146,,Valid,Customer Transaction,Game step assume late home order morning to.
TRX100028,2023-03-17,139672.98,Revenue,Subscription,Enterprise,South,CUST10074,,Valid,Customer Transaction,Nature need environment operation country easy across choice.
TRX100029,2023-09-19,198385.78,Revenue,Subscription,Enterprise,North,CUST10011,,Valid,Customer Transaction,Scientist particularly include true listen happy.
TRX100030,2022-09-10,137108.16,Revenue,Service,Enterprise,East,CUST10325,,Valid,Customer Transaction,Citizen help never simple course.
TRX100031,2022-03-04,-44326.21,Expense,Other,Retail,East,,VEND1053,Valid,Vendor Transaction,Billion newspaper modern fine career somebody.
TRX100032,2023-02-13,162088.99,Revenue,Service,Enterprise,North,CUST10203,,Valid,Customer Transaction,Wall campaign might anyone.
TRX100033,2022-10-13,138103.68,Revenue,Subscription,Online,North,CUST10151,,Valid,Customer Transaction,Could impact decide key.
TRX100034,2022-05-14,-10197.61,Expense,Utilities,Retail,East,,VEND1014,Valid,Vendor Transaction,Imagine must who discover since painting.
TRX100035,2023-08-07,-62926.94,Expense,Marketing,Retail,West,,VEND1093,Valid,Vendor Transaction,Training nor arrive.
TRX100036,2023-09-26,144593.87,Revenue,Service,Enterprise,East,CUST10086,,Valid,Customer Transaction,Field some arrive society everybody guy public.
TRX100037,2022-02-03,38814.58,Revenue,Product,Retail,North,CUST10013,,Valid,Customer Transaction,Order agreement mind everything.
TRX100038,2023-02-26,-36977.97,Expense,Rent,Online,East,,VEND1082,Valid,Vendor Transaction,Watch would miss interview water trouble.
TRX100039,2022-12-19,-18304.84,Expense,Payroll,Enterprise,East,,VEND1106,Valid,Vendor Transaction,Save in thing model.
TRX100040,2023-10-29,248459.88,Revenue,Subscription,Online,East,CUST10022,,Valid,Customer Transaction,Defense argue help someone action throw.
TRX100041,2022-10-04,120099.72,Revenue,Product,Online,East,CUST10128,,Valid,Customer Transaction,Reduce suddenly against ball medical.
TRX100042,2022-11-23,-39571.02,Expense,Other,Online,South,,VEND1063,Valid,Vendor Transaction,Far make skill lose audience art.
TRX100043,2023-04-17,79909.54,Revenue,Subscription,Retail,East,CUST10251,,Valid,Customer Transaction,Tax north line it fund describe.
TRX100044,2023-02-20,-50444.36,Expense,Other,Enterprise,North,,VEND1020,Valid,Vendor Transaction,Follow put campaign lose summer lot if others.
TRX100045,2022-11-14,-22716.39,Expense,Supplies,Retail,East,,VEND1062,Valid,Vendor Transaction,Structure have effect.
TRX100046,2023-01-08,-14936.32,Expense,Marketing,Online,East,,VEND1025,Valid,Vendor Transaction,Second get its since return.
TRX100047,2023-09-30,141946.92,Revenue,Service,Retail,West,CUST10342,,Valid,Customer Transaction,Then section each support majority.
TRX100048,2023-12-05,-28844.76,Expense,Supplies,Online,West,,VEND1060,Valid,Vendor Transaction,Where keep leader computer father brother a give.
TRX100049,2022-08-09,-66244,Expense,Supplies,Enterprise,North,,VEND1089,Valid,Vendor Transaction,Big itself serious.
TRX100050,2023-04-02,15704.88,Asset,Asset,Enterprise,East,,,Review,Vendor Transaction,Test fill perform voice.
TRX100051,2022-09-18,209846.71,Revenue,Subscription,Retail,South,CUST10190,,Valid,Customer Transaction,School common voice itself.
TRX100052,2022-06-16,-45798.81,Expense,Marketing,Enterprise,East,,VEND1011,Valid,Vendor Transaction,Majority early special record sit scene price.
TRX100053,2022-05-06,-22712.23,Expense,Payroll,Enterprise,North,,VEND1079,Valid,Vendor Transaction,Daughter training suffer miss money.
TRX100054,2022-11-16,-51925.51,Expense,Other,Online,East,,VEND1098,Valid,Vendor Transaction,Including measure leave road leg mention.
TRX100055,2023-02-03,-42768.16,Expense,Rent,Online,North,,VEND1082,Valid,Vendor Transaction,Technology far reach thought probably cover increase.
TRX100056,2022-04-04,-22339.95,Expense,Marketing,Retail,East,,VEND1001,Valid,Vendor Transaction,Play prepare red goal.
TRX100057,2023-03-10,-43856.82,Expense,Utilities,Enterprise,West,,VEND1042,Valid,Vendor Transaction,Hard this despite certain they both provide machine.
TRX100058,2022-06-18,86224.06,Revenue,Product,Retail,East,CUST10151,,Valid,Customer Transaction,Summer everyone his magazine six value week.
TRX100059,2022-09-14,196305.77,Revenue,Service,Enterprise,West,CUST10016,,Valid,Customer Transaction,Pm like matter price personal for.
TRX100060,2023-12-11,144148.9,Revenue,Product,Online,South,CUST10049,,Valid,Customer Transaction,True shoulder away.
TRX100061,2022-11-07,161193.89,Revenue,Product,Online,South,CUST10129,,Valid,Customer Transaction,Page truth although under for water analysis.
TRX100062,2022-09-04,157413.67,Revenue,Service,Online,West,CUST10183,,Valid,Customer Transaction,Early choice speech follow fund measure.
TRX100063,2022-01-22,113690.25,Revenue,Subscription,Enterprise,West,CUST10348,,Valid,Customer Transaction,Same whether interesting half Republican.
TRX100064,2023-08-14,194267.47,Revenue,Subscription,Online,East,CUST10075,,Valid,Customer Transaction,Half toward his.
TRX100065,2023-04-02,-53590.9,Expense,Marketing,Enterprise,South,,VEND1107,Valid,Vendor Transaction,Source learn expect show.
TRX100066,2022-10-10,-29061.06,Expense,Other,Retail,North,,VEND1019,Valid,Vendor Transaction,House performance sign deep.
TRX100067,2022-12-09,-48080.35,Expense,Rent,Retail,North,,VEND1030,Valid,Vendor Transaction,Home now local perform by.
TRX100068,2022-07-07,218024.69,Revenue,Product,Online,North,CUST10321,,Valid,Customer Transaction,Dog eight perhaps audience past eye.
TRX100069,2022-07-07,-38127.82,Expense,Rent,Enterprise,West,,VEND1086,Valid,Vendor Transaction,His another government threat choose water fear.
TRX100070,2023-03-04,-31873.97,Expense,Rent,Retail,North,,VEND1086,Valid,Vendor Transaction,Enjoy keep pass write state even bank.
TRX100071,2023-06-05,203084.24,Revenue,Subscription,Online,West,CUST10116,,Valid,Customer Transaction,Possible talk model why we town decade.
TRX100072,2023-12-30,222948.96,Revenue,Subscription,Online,North,CUST10063,,Valid,Customer Transaction,Black sit anyone language song show watch better.
TRX100073,2023-12-10,238667.54,Revenue,Product,Enterprise,South,CUST10137,,Valid,Customer Transaction,Rate reflect building guess well TV.
TRX100074,2022-04-22,132774.78,Revenue,Subscription,Retail,South,CUST10298,,Valid,Customer Transaction,And stop raise somebody nice.
TRX100075,2023-09-17,188545.69,Revenue,Subscription,Enterprise,North,CUST10187,,Valid,Customer Transaction,Wonder increase hundred today final debate.
TRX100076,2023-05-10,138240.93,Revenue,Service,Retail,East,CUST10285,,Valid,Customer Transaction,Pick fast one entire.
TRX100077,2023-08-11,-14341.81,Expense,Payroll,Online,North,,VEND1095,Valid,Vendor Transaction,East very manager set act perhaps company ability.
TRX100078,2022-12-09,163678.6,Revenue,Product,Enterprise,West,CUST10207,,Valid,Customer Transaction,Three specific late economic serious word.
TRX100079,2022-10-17,198317.9,Revenue,Product,Enterprise,West,CUST10207,,Valid,Customer Transaction,Continue beyond suffer plant student.
TRX100080,2023-08-15,188616.88,Revenue,Product,Retail,North,CUST10108,,Valid,Customer Transaction,Doctor surface girl friend everybody thousand under.
TRX100081,2022-06-26,-25218.03,Expense,Marketing,Online,East,,VEND1089,Valid,Vendor Transaction,Kid item feeling less player.
TRX100082,2023-09-27,-15892.26,Expense,Supplies,Enterprise,South,,VEND1025,Valid,Vendor Transaction,Increase mouth your indeed.
TRX100083,2022-09-03,199974.44,Revenue,Subscription,Enterprise,South,CUST10092,,Valid,Customer Transaction,Letter along six agent staff industry who.
TRX100084,2022-05-05,128923.58,Revenue,Service,Enterprise,North,CUST10082,,Valid,Customer Transaction,Cell prevent goal view water shake matter effect.
TRX100085,2023-02-25,67222.23,Revenue,Service,Online,West,CUST10209,,Valid,Customer Transaction,End cover a enough speak figure.
TRX100086,2022-12-28,186952.56,Revenue,Subscription,Online,West,CUST10089,,Valid,Customer Transaction,Economic behind young American artist main personal.
TRX100087,2023-07-09,164462.06,Revenue,Service,Retail,East,CUST10042,,Valid,Customer Transaction,Girl reveal order deep chair cut sit.
TRX100088,2022-11-07,18077.56,Equity,Equity,Enterprise,South,,,Review,Vendor Transaction,Once fact interest difference section remain.
TRX100089,2023-10-14,72337.28,Revenue,Service,Online,South,CUST10157,,Valid,Customer Transaction,Able finish they defense yet activity.
TRX100090,2022-07-18,-40667.5,Expense,Rent,Online,South,,VEND1090,Valid,Vendor Transaction,Instead age animal popular parent baby.
TRX100091,2022-01-04,177006.22,Revenue,Product,Retail,West,CUST10212,,Valid,Customer Transaction,Choose per range week.
TRX100092,2022-07-17,-33821.98,Expense,Other,Online,West,,VEND1059,Valid,Vendor Transaction,Lay buy bar century.
TRX100093,2022-07-07,113760.1,Revenue,Service,Enterprise,South,CUST10232,,Valid,Customer Transaction,Congress whose main matter coach loss executive.
TRX100094,2022-02-26,68040.32,Revenue,Service,Retail,South,CUST10121,,Valid,Customer Transaction,Bar rock democratic positive live easy grow.
TRX100095,2023-07-25,114168.76,Revenue,Product,Retail,West,CUST10237,,Valid,Customer Transaction,Certainly believe white money.
TRX100096,2023-04-18,104796.05,Revenue,Product,Online,West,CUST10266,,Valid,Customer Transaction,Support visit else lead call.
TRX100097,2022-03-17,-40864.74,Expense,Other,Retail,East,,VEND1072,Valid,Vendor Transaction,But share truth conference seem TV.
TRX100098,2023-08-29,-10569.47,Expense,Supplies,Retail,East,,VEND1065,Valid,Vendor Transaction,Officer agree interesting nice risk from medical some.
TRX100099,2023-01-23,-58587.41,Expense,Rent,Online,North,,VEND1055,Valid,Vendor Transaction,Report go now get few.
TRX100100,2023-09-07,-52304.95,Expense,Rent,Online,South,,VEND1114,Valid,Vendor Transaction,Prove crime everyone garden this a.
TRX100101,2022-07-28,-29143.83,Expense,Rent,Retail,East,,VEND1055,Valid,Vendor Transaction,Road teach exactly against.
TRX100102,2022-07-19,25663.11,Asset,Asset,Enterprise,West,,,Review,Vendor Transaction,Whose total make identify.
TRX100103,2023-02-22,-67973.9,Expense,Rent,Online,East,,VEND1096,Valid,Vendor Transaction,Opportunity available of keep forward.
TRX100104,2022-01-12,-29643.1,Expense,Payroll,Enterprise,East,,VEND1005,Valid,Vendor Transaction,Between religious team despite indeed back.
TRX100105,2022-05-21,152156.21,Revenue,Product,Online,South,CUST10000,,Valid,Customer Transaction,Baby serious enter perform imagine low focus position.
TRX100106,2022-06-15,111093.11,Revenue,Service,Online,South,CUST10242,,Valid,Customer Transaction,Culture nor sound nature dream score.
TRX100107,2022-10-12,160063.62,Revenue,Product,Online,West,CUST10191,,Valid,Customer Transaction,Such source anything article.
TRX100108,2022-06-04,163121.36,Revenue,Service,Enterprise,South,CUST10143,,Valid,Customer Transaction,Other job alone economy movement after.
TRX100109,2022-07-22,211276.4,Revenue,Subscription,Retail,East,CUST10093,,Valid,Customer Transaction,Number world tough pull increase find.
TRX100110,2022-02-18,-32825.35,Expense,Marketing,Retail,West,,VEND1097,Valid,Vendor Transaction,First land test claim must section.
TRX100111,2022-12-06,-4636.57,Expense,Payroll,Retail,South,,VEND1021,Valid,Vendor Transaction,Point now another early.
TRX100112,2022-02-03,159281.15,Revenue,Service,Enterprise,East,CUST10144,,Valid,Customer Transaction,Old material place think nation even.
TRX100113,2023-06-27,-34378.11,Expense,Rent,Retail,North,,VEND1052,Valid,Vendor Transaction,Suddenly land laugh reality write war only eye.
TRX100114,2023-08-08,170722.89,Revenue,Service,Online,West,CUST10215,,Valid,Customer Transaction,Establish later sport state receive manager leg.
TRX100115,2023-08-09,-15399.58,Expense,Supplies,Enterprise,East,,VEND1025,Valid,Vendor Transaction,Garden grow say charge.
TRX100116,2023-10-31,15498.98,Equity,Equity,Retail,North,,,Review,Vendor Transaction,National no phone nor they true.
TRX100117,2022-08-22,154491.36,Revenue,Subscription,Enterprise,East,CUST10277,,Valid,Customer Transaction,Hotel cause fall market family president.
TRX100118,2023-12-29,101231.07,Revenue,Service,Online,West,CUST10120,,Valid,Customer Transaction,Law religious treat majority agreement.
TRX100119,2022-12-24,158267.98,Revenue,Subscription,Retail,South,CUST10301,,Valid,Customer Transaction,Democrat name religious consider force.
TRX100120,2023-08-14,-16519.06,Expense,Marketing,Online,North,,VEND1103,Valid,Vendor Transaction,Return receive whose find change explain.
TRX100121,2023-04-05,133795.88,Revenue,Product,Online,East,CUST10094,,Valid,Customer Transaction,Large high never near.
TRX100122,2023-02-12,150954.2,Revenue,Subscription,Enterprise,West,CUST10279,,Valid,Customer Transaction,Offer future huge from price require these.
TRX100123,2023-05-01,156547.14,Revenue,Subscription,Online,South,CUST10304,,Valid,Customer Transaction,Might give fast break less.
TRX100124,2022-10-14,-22084.36,Expense,Utilities,Retail,North,,VEND1018,Valid,Vendor Transaction,Safe positive base go better body.
TRX100125,2022-03-11,-43759.35,Expense,Payroll,Enterprise,West,,VEND1019,Valid,Vendor Transaction,Expect someone they decade heavy fact guy.
TRX100126,2023-05-22,153964.81,Revenue,Subscription,Enterprise,North,CUST10227,,Valid,Customer Transaction,Wife edge agree leg approach role chance tree.
TRX100127,2023-05-08,189532.01,Revenue,Product,Enterprise,West,CUST10356,,Valid,Customer Transaction,Little task any world onto sister be go.
TRX100128,2023-02-21,136617.82,Revenue,Service,Online,South,CUST10181,,Valid,Customer Transaction,Air past better American guess item like under.
TRX100129,2023-03-21,22872.89,Equity,Equity,Retail,West,,,Review,Vendor Transaction,Just according clearly travel.
TRX100130,2023-05-19,225791.57,Revenue,Product,Online,East,CUST10144,,Valid,Customer Transaction,Idea soldier anyone message community safe professor cost.
TRX100131,2022-04-18,-47065.38,Expense,Supplies,Enterprise,East,,VEND1083,Valid,Vendor Transaction,Crime ball cultural knowledge rich.
TRX100132,2023-01-05,142464.2,Revenue,Service,Retail,West,CUST10313,,Valid,Customer Transaction,Event still his stay time.
TRX100133,2022-07-13,230992.58,Revenue,Service,Retail,West,CUST10130,,Valid,Customer Transaction,Business stop hear hospital growth.
TRX100134,2022-03-19,-36714.94,Expense,Other,Online,West,,VEND1093,Valid,Vendor Transaction,Memory place skill claim paper image area discuss.
TRX100135,2022-02-21,16188.41,Asset,Asset,Enterprise,South,,,Review,Vendor Transaction,Explain article eat range history bar my eight.
TRX100136,2022-05-24,-44941.92,Expense,Payroll,Enterprise,North,,VEND1043,Valid,Vendor Transaction,Hospital lot race.
TRX100137,2023-10-16,93719.25,Revenue,Product,Online,South,CUST10072,,Valid,Customer Transaction,Trip public college bill condition recently rate.
TRX100138,2022-04-25,140607.13,Revenue,Service,Retail,North,CUST10279,,Valid,Customer Transaction,But ask us offer movement.
TRX100139,2022-02-07,-45744.35,Expense,Marketing,Enterprise,East,,VEND1047,Valid,Vendor Transaction,Fine girl body summer many.
TRX100140,2022-05-24,-42996.07,Expense,Other,Enterprise,South,,VEND1068,Valid,Vendor Transaction,Mind common Mrs treatment worry.
TRX100141,2023-06-08,191662.08,Revenue,Service,Online,North,CUST10299,,Valid,Customer Transaction,Toward smile we box long change free public.
TRX100142,2023-01-15,237604.97,Revenue,Subscription,Online,East,CUST10242,,Valid,Customer Transaction,Off floor manage language entire bill although develop.
TRX100143,2022-03-28,159016.86,Revenue,Service,Online,South,CUST10030,,Valid,Customer Transaction,Conference happen well cup another popular decade offer.
TRX100144,2022-06-18,-44833.33,Expense,Other,Online,North,,VEND1065,Valid,Vendor Transaction,Development great low movement west interest fast.
TRX100145,2022-07-21,18384.76,Asset,Asset,Retail,South,,,Review,Vendor Transaction,Card only present.
TRX100146,2022-12-03,198337.92,Revenue,Service,Online,North,CUST10244,,Valid,Customer Transaction,Term eight direction room even.
TRX100147,2023-11-18,99439.12,Revenue,Service,Retail,North,CUST10297,,Valid,Customer Transaction,Small simple score poor.
TRX100148,2022-02-24,-51832.07,Expense,Rent,Retail,East,,VEND1082,Valid,Vendor Transaction,Morning let artist audience.
TRX100149,2023-12-19,-2000,Expense,Marketing,Online,South,,VEND1034,Valid,Vendor Transaction,Single find middle bill study pick former.
TRX100150,2023-10-01,-49703.8,Expense,Other,Retail,North,,VEND1061,Valid,Vendor Transaction,Side sing hold service find make.
TRX100151,2023-10-28,134505.5,Revenue,Service,Retail,East,CUST10026,,Valid,Customer Transaction,Beyond fill research avoid.
TRX100152,2023-04-05,119708.58,Revenue,Subscription,Online,South,CUST10218,,Valid,Customer Transaction,Put indicate between woman.
TRX100153,2023-01-15,201278.82,Revenue,Service,Enterprise,North,CUST10269,,Valid,Customer Transaction,Fight people never chance.
TRX100154,2022-10-14,149370.98,Revenue,Product,Enterprise,South,CUST10226,,Valid,Customer Transaction,Return such ahead media group have.
TRX100155,2022-12-07,-38870.42,Expense,Supplies,Online,West,,VEND1112,Valid,Vendor Transaction,News certainly offer fill develop listen lot.
TRX100156,2022-09-09,12200.16,Equity,Equity,Enterprise,West,,,Review,Vendor Transaction,Important level bit office good lay reveal.
TRX100157,2022-02-06,-2000,Expense,Supplies,Enterprise,East,,VEND1005,Valid,Vendor Transaction,Dream improve major seat where.
TRX100158,2022-06-07,-69861.91,Expense,Payroll,Retail,West,,VEND1109,Valid,Vendor Transaction,Current service operation tree particularly.
TRX100159,2022-10-02,-55950.48,Expense,Other,Retail,South,,VEND1112,Valid,Vendor Transaction,Wear without treatment company strategy.
TRX100160,2022-11-28,208463.24,Revenue,Subscription,Retail,East,CUST10219,,Valid,Customer Transaction,Everybody partner student let.
TRX100161,2022-10-14,128155.49,Revenue,Product,Online,North,CUST10322,,Valid,Customer Transaction,Interesting cultural its business wonder tax late.
TRX100162,2022-07-25,187122.76,Revenue,Subscription,Retail,South,CUST10123,,Valid,Customer Transaction,Computer church safe.
TRX100163,2023-07-14,-20907.29,Expense,Utilities,Enterprise,North,,VEND1067,Valid,Vendor Transaction,Onto nation fine social nice only PM.
TRX100164,2023-02-07,14823.41,Asset,Asset,Online,East,,,Review,Vendor Transaction,Another maybe bad part meeting.
TRX100165,2023-07-10,-28967.07,Expense,Rent,Online,South,,VEND1116,Valid,Vendor Transaction,It nature third discuss cell near.
TRX100166,2022-10-02,169470.48,Revenue,Product,Online,East,CUST10197,,Valid,Customer Transaction,Trial understand company turn yeah.
TRX100167,2023-09-19,-33871.64,Expense,Utilities,Online,South,,VEND1054,Valid,Vendor Transaction,Who result foreign another number his season.
TRX100168,2022-05-23,-10104.65,Expense,Payroll,Retail,East,,VEND1052,Valid,Vendor Transaction,New institution firm purpose.
TRX100169,2022-01-18,129847.65,Revenue,Product,Online,West,CUST10217,,Valid,Customer Transaction,Lose method he blood age evidence individual.
TRX100170,2023-11-11,-59959.59,Expense,Marketing,Online,East,,VEND1115,Valid,Vendor Transaction,Language point feeling sure form until agent reduce.
TRX100171,2023-09-25,132157.59,Revenue,Subscription,Enterprise,East,CUST10371,,Valid,Customer Transaction,Maintain wife final though.
TRX100172,2023-12-13,123500.13,Revenue,Subscription,Enterprise,West,CUST10066,,Valid,Customer Transaction,Body policy space appear.
TRX100173,2023-11-18,184340.52,Revenue,Subscription,Enterprise,North,CUST10297,,Valid,Customer Transaction,Professor community notice per authority what speech.
TRX100174,2022-07-26,161356.91,Revenue,Service,Enterprise,West,CUST10193,,Valid,Customer Transaction,Several message never system large.
TRX100175,2023-10-02,-56282.81,Expense,Marketing,Online,South,,VEND1073,Valid,Vendor Transaction,Effect goal as.
TRX100176,2023-02-19,59807.37,Revenue,Product,Online,West,CUST10279,,Valid,Customer Transaction,Might section consumer expert magazine compare bag.
TRX100177,2022-06-30,226510.26,Revenue,Subscription,Retail,East,CUST10245,,Valid,Customer Transaction,Rise in half tell clear local father.
TRX100178,2022-01-04,-51969.38,Expense,Payroll,Online,East,,VEND1077,Valid,Vendor Transaction,Week myself table because respond.
TRX100179,2022-09-24,-20758.14,Expense,Marketing,Online,East,,VEND1014,Valid,Vendor Transaction,Detail purpose leader rate box situation indeed.
TRX100180,2022-08-22,173663.29,Revenue,Service,Retail,South,CUST10016,,Valid,Customer Transaction,Total full bit each.
TRX100181,2023-09-10,184661.07,Revenue,Product,Online,South,CUST10191,,Valid,Customer Transaction,Forward style guess participant also professional measure.
TRX100182,2022-02-25,-41784.83,Expense,Payroll,Retail,South,,VEND1095,Valid,Vendor Transaction,Thought season social join service.
TRX100183,2023-12-04,-61768.28,Expense,Payroll,Enterprise,East,,VEND1093,Valid,Vendor Transaction,Personal check above.
TRX100184,2022-01-28,140778.64,Revenue,Service,Enterprise,East,CUST10112,,Valid,Customer Transaction,Establish establish worry shoulder field class.
TRX100185,2022-02-28,110967.18,Revenue,Service,Retail,East,CUST10221,,Valid,Customer Transaction,Interview perhaps tree require capital team enter.
TRX100186,2023-04-03,80490.9,Revenue,Subscription,Online,West,CUST10154,,Valid,Customer Transaction,Poor school manage answer listen method walk already.
TRX100187,2023-07-23,112269.5,Revenue,Product,Online,South,CUST10257,,Valid,Customer Transaction,Personal performance I ground wait air foot.
TRX100188,2023-12-03,256707.72,Revenue,Product,Enterprise,South,CUST10356,,Valid,Customer Transaction,Little up city down bill join.
TRX100189,2023-06-11,-3847.17,Expense,Payroll,Enterprise,South,,VEND1038,Valid,Vendor Transaction,Describe second cause bad imagine.
TRX100190,2023-08-29,204542.93,Revenue,Product,Retail,East,CUST10280,,Valid,Customer Transaction,Community kind necessary arrive she drive.
TRX100191,2022-10-29,165512.57,Revenue,Service,Online,South,CUST10084,,Valid,Customer Transaction,Under evening answer ten.
TRX100192,2023-06-14,-37826.65,Expense,Other,Enterprise,West,,VEND1005,Valid,Vendor Transaction,Trade west vote book window.
TRX100193,2023-07-29,110532.22,Revenue,Product,Enterprise,West,CUST10138,,Valid,Customer Transaction,Person care set street election system.
TRX100194,2022-09-09,140743.8,Revenue,Subscription,Retail,East,CUST10140,,Valid,Customer Transaction,Build when section herself.
TRX100195,2023-08-21,110450.42,Revenue,Service,Enterprise,East,CUST10344,,Valid,Customer Transaction,Commercial world occur stock charge.
TRX100196,2022-03-31,142685.59,Revenue,Product,Enterprise,South,CUST10309,,Valid,Customer Transaction,Mission protect employee fill old these whole.
TRX100197,2022-08-22,141925.95,Revenue,Product,Retail,West,CUST10050,,Valid,Customer Transaction,Event government goal simple one before still.
TRX100198,2022-05-12,161733.72,Revenue,Subscription,Retail,North,CUST10094,,Valid,Customer Transaction,Head sound project glass finally ask military one.
TRX100199,2022-04-10,195590.93,Revenue,Product,Online,East,CUST10098,,Valid,Customer Transaction,Oil mention gas instead realize store.
TRX100200,2022-10-22,142362.76,Revenue,Product,Online,East,CUST10314,,Valid,Customer Transaction,Happen Democrat my dinner so minute.
TRX100201,2023-02-09,187614.47,Revenue,Service,Retail,West,CUST10118,,Valid,Customer Transaction,Leg real last many growth past compare.
TRX100202,2023-11-12,155269.99,Revenue,Service,Online,South,CUST10178,,Valid,Customer Transaction,Resource win need certain authority.
TRX100203,2022-04-27,13840.21,Equity,Equity,Online,North,,,Review,Vendor Transaction,Mission that include watch degree.
TRX100204,2022-05-26,176192.68,Revenue,Service,Retail,East,CUST10175,,Valid,Customer Transaction,Candidate section somebody simply.
TRX100205,2023-08-10,-68512.38,Expense,Supplies,Retail,North,,VEND1088,Valid,Vendor Transaction,Sport build success suggest rule catch.
TRX100206,2023-03-10,168232.54,Revenue,Product,Enterprise,East,CUST10081,,Valid,Customer Transaction,Brother respond assume model.
TRX100207,2023-01-25,149168.32,Revenue,Product,Retail,West,CUST10008,,Valid,Customer Transaction,Discussion skill realize green something several.
TRX100208,2022-07-14,150846.6,Revenue,Service,Enterprise,South,CUST10264,,Valid,Customer Transaction,Poor chance sometimes occur reveal fast event government.
TRX100209,2022-10-26,22375.13,Asset,Asset,Retail,East,,,Review,Vendor Transaction,Want organization finally hope.
TRX100210,2022-03-10,148379.33,Revenue,Subscription,Retail,West,CUST10026,,Valid,Customer Transaction,Daughter couple far.
TRX100211,2023-09-28,-4039.24,Expense,Marketing,Online,North,,VEND1022,Valid,Vendor Transaction,Issue war child despite lawyer.
TRX100212,2023-11-02,47134.35,Revenue,Subscription,Retail,East,CUST10198,,Valid,Customer Transaction,Just everyone people before rate.
TRX100213,2022-01-15,90157.01,Revenue,Service,Enterprise,South,CUST10191,,Valid,Customer Transaction,National action everyone home certainly.
